dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.0084471,0.481256,0.262326,0.0843382,0.947189,0.0053893,0.268485,0.236749,0.861967,0
0.0004162,0.619585,0.460867,0.0896518,0.615049,0.0054434,0.15469,0.267973,0.441461,0
0.0121334,0.554858,0.386402,0.0977412,0.687692,0.005453,0.16183,0.356414,0.99708,1
0.0531197,0.602601,0.360612,0.0865803,0.845978,0.0054784,0.164431,0.265658,0.530624,0
0.1319422,0.743054,0.906987,0.1387156,0.0915633,0.0054976,0.140252,0.262574,0.708875,0
0.008571,0.378618,0.497125,0.0873877,0.119426,0.0055294,0.309113,0.254339,0.743234,0
0.0155323,0.734767,0.573811,0.0885398,0.314961,0.0055867,0.144141,0.25428,0.635649,0
0.000141,0.506218,0.310366,0.0591494,0.605014,0.005625,0.222931,0.245972,0.490933,1
0.0865505,0.555906,0.49459,0.1389604,0.585014,0.0058511,0.193194,0.293219,0.474131,0
0.116948,0.435358,0.414554,0.1372444,0.085014,0.005969,0.340963,0.302615,0.543492,0
0.0018165,0.396841,0.462561,0.0946689,0.119426,0.0060518,0.202242,0.299932,0.680601,0
0.0279228,0.553679,0.522578,0.1038022,0.967189,0.0061792,0.231144,0.343404,0.921129,1
0.00764,0.351393,0.490694,0.0869561,0.314961,0.0061919,0.267882,0.24902,0.763892,0
0.0096078,0.513571,0.381675,0.0944436,0.615049,0.0062301,0.35031,0.316259,0.328382,0
0.0071413,0.678824,0.292049,0.0552026,0.635049,0.006262,0.263012,0.272987,0.442108,0
0.0047471,0.479239,0.334014,0.0918043,0.615049,0.0063416,0.199788,0.322263,0.374033,0
0.0222639,0.652408,0.431231,0.0863531,0.314961,0.0064276,0.228568,0.251226,0.645711,0
0.0173672,0.837356,0.250126,0.0883852,0.219831,0.0065232,0.17711,0.308979,0.911422,1
0.0056356,0.408601,0.486097,0.0923148,0.119426,0.0065423,0.213983,0.272779,0.436443,0
0.0812654,0.502922,0.599441,0.1385988,0.585014,0.0068194,0.237048,0.30587,0.456848,0
0.0226147,0.42757,0.363484,0.0881826,0.314961,0.0069245,0.196705,0.261446,0.749653,0
0.0000726,0.569844,0.180955,0.0937255,0.845978,0.0069404,0.281682,0.283634,0.66311,0
0.0002146,0.490572,0.224205,0.1190971,0.334961,0.0071602,0.180671,0.389441,0.595615,1
0.0027564,0.615891,0.4287,0.0867453,0.199831,0.0072303,0.157724,0.25181,0.945186,0
0.0033287,0.683229,0.425159,0.0861476,0.631592,0.0072812,0.236296,0.257535,0.96804,0
0.0040283,0.88489,0.692517,0.0838921,0.947189,0.0073067,0.179739,0.234099,0.914583,0
0.0020246,0.577583,0.250976,0.0867853,0.845978,0.007364,0.242134,0.247744,0.638525,0
0.0002547,0.439102,0.398739,0.159127,0.865978,0.0074564,0.201711,0.458384,0.725808,1
0.0006668,0.419868,0.684714,0.0913889,0.314961,0.0075647,0.234696,0.260542,0.674108,0
0.0113606,0.747001,0.487053,0.0783735,0.687692,0.0075934,0.172798,0.280686,1.003988,1
0.0182582,0.569658,0.430171,0.0875498,0.38425,0.0076125,0.237863,0.25445,0.767498,0
0.0309786,0.529743,0.455442,0.0881972,0.314961,0.0077845,0.216842,0.253797,0.720057,0
0.0005863,0.696211,0.449407,0.1028831,0.1115633,0.0078068,0.2209,0.415406,0.722095,1
0.0014051,0.651526,0.365867,0.0927569,0.651592,0.0078577,0.163893,0.341596,0.990537,1
0.0044055,0.385259,0.472159,0.1140739,0.40425,0.0078609,0.211321,0.37066,0.823267,1
0.0009194,0.814413,0.759721,0.0680189,0.1115633,0.0079597,0.164919,0.245107,0.766886,1
